participant_id,age,sex,trip_id,trip_mode,trip_duration,year,gdppc2014,population2014
0000101,35,male,000010101,motorcycle,NA,2015,11111,11111
0000101,35,male,000010102,motorcycle,25,2015,11111,11111
0000102,33,female,000010201,taxi,30,2015,11111,11111
0000102,33,female,000010202,bus,30,2015,11111,11111
0000104,32,female,000010401,car,25,2015,11111,11111
0000104,32,female,000010402,car,30,2015,11111,11111
0000201,27,male,000020101,bus,266,2015,11111,11111
0000201,27,male,000020102,pedestrian,50,2015,11111,11111
0000201,27,male,000020103,bus,105,2015,11111,11111
0000202,78,female,000020201,pedestrian,10,2015,11111,11111
0000202,78,female,000020202,pedestrian,10,2015,11111,11111
0000401,68,male,000040101,pedestrian,15,2015,11111,11111
0000401,68,male,000040102,pedestrian,15,2015,11111,11111
0000603,25,male,000060301,motorcycle,30,2015,11111,11111
0000603,25,male,000060302,motorcycle,30,2015,11111,11111
0000701,56,male,000070101,bus,45,2015,11111,11111
0000701,56,male,000070102,bus,75,2015,11111,11111
0000703,52,female,000070301,bus,45,2015,11111,11111
0000703,52,female,000070302,bus,75,2015,11111,11111
0000901,59,male,000090101,cycle,30,2015,11111,11111
0000901,59,male,000090102,cycle,30,2015,11111,11111
0001101,52,female,000110101,bus,30,2015,11111,11111
0001101,52,female,000110102,bus,40,2015,11111,11111
0001202,32,male,000120201,bus,60,2015,11111,11111
0001202,32,male,000120202,bus,30,2015,11111,11111
0001401,49,male,000140101,motorcycle,20,2015,11111,11111
0001401,49,male,000140102,motorcycle,20,2015,11111,11111
0001404,16,male,000140401,pedestrian,30,2015,11111,11111
0001404,16,male,000140402,pedestrian,30,2015,11111,11111
0001501,47,female,000150101,car,15,2015,11111,11111
0001501,47,female,000150102,car,15,2015,11111,11111
0001603,20,female,000160301,bus,30,2015,11111,11111
0001603,20,female,000160302,car,30,2015,11111,11111
0001701,63,male,000170101,motorcycle,45,2015,11111,11111
0001701,63,male,000170102,motorcycle,45,2015,11111,11111
0001701,63,male,000170103,motorcycle,30,2015,11111,11111
0001701,63,male,000170104,motorcycle,25,2015,11111,11111
0001703,33,female,000170301,pedestrian,15,2015,11111,11111
0001703,33,female,000170302,pedestrian,15,2015,11111,11111
0001704,12,female,000170401,pedestrian,10,2015,11111,11111
0001704,12,female,000170402,pedestrian,10,2015,11111,11111
0001705,09,female,000170501,motorcycle,15,2015,11111,11111
0001705,09,female,000170502,motorcycle,15,2015,11111,11111
0001801,64,male,000180101,bus,15,2015,11111,11111
0001801,64,male,000180102,bus,60,2015,11111,11111
0001802,65,female,000180201,bus,165,2015,11111,11111
0001802,65,female,000180202,bus,60,2015,11111,11111
0001901,53,male,000190101,motorcycle,15,2015,11111,11111
0001901,53,male,000190102,motorcycle,15,2015,11111,11111
0002001,42,male,000200101,motorcycle,10,2015,11111,11111
0002001,42,male,000200102,motorcycle,20,2015,11111,11111
0002001,42,male,000200103,motorcycle,10,2015,11111,11111
0002201,42,female,000220101,taxi,1020,2015,11111,11111
0002202,22,male,000220201,motorcycle,20,2015,11111,11111
0002202,22,male,000220202,motorcycle,20,2015,11111,11111
0002202,22,male,000220203,pedestrian,15,2015,11111,11111
0002202,22,male,000220204,pedestrian,15,2015,11111,11111
0002204,18,female,000220401,bus,20,2015,11111,11111
0002204,18,female,000220402,bus,20,2015,11111,11111
0002302,35,male,000230201,motorcycle,20,2015,11111,11111
0002302,35,male,000230202,motorcycle,30,2015,11111,11111
0002302,35,male,000230203,motorcycle,20,2015,11111,11111
0002401,55,male,000240101,bus,50,2015,11111,11111
0002401,55,male,000240102,bus,60,2015,11111,11111
0002402,58,female,000240201,bus,20,2015,11111,11111
0002402,58,female,000240202,bus,60,2015,11111,11111
0002403,57,male,000240301,bus,30,2015,11111,11111
0002403,57,male,000240302,bus,30,2015,11111,11111
0002404,62,male,000240401,motorcycle,10,2015,11111,11111
0002404,62,male,000240402,motorcycle,5,2015,11111,11111
0002405,28,male,000240501,pedestrian,45,2015,11111,11111
0002405,28,male,000240502,pedestrian,60,2015,11111,11111
0002502,55,female,000250201,taxi,15,2015,11111,11111
0002502,55,female,000250202,taxi,18,2015,11111,11111
0002701,65,male,000270101,car,30,2015,11111,11111
0002701,65,male,000270102,car,60,2015,11111,11111
0002701,65,male,000270103,car,60,2015,11111,11111
0002702,52,female,000270201,pedestrian,0,2015,11111,11111
0002702,52,female,000270202,pedestrian,3,2015,11111,11111
0002703,32,male,000270301,car,30,2015,11111,11111
0002703,32,male,000270302,car,60,2015,11111,11111
0002703,32,male,000270303,car,60,2015,11111,11111
0002704,19,male,000270401,taxi,10,2015,11111,11111
0002704,19,male,000270402,taxi,10,2015,11111,11111
0002704,19,male,000270403,cycle,3,2015,11111,11111
0002704,19,male,000270404,cycle,3,2015,11111,11111
0002705,10,female,000270501,car,20,2015,11111,11111
0002705,10,female,000270502,motorcycle,15,2015,11111,11111
0002803,16,female,000280301,pedestrian,10,2015,11111,11111
0002803,16,female,000280302,cycle,10,2015,11111,11111
0002803,16,female,000280303,cycle,3,2015,11111,11111
0002804,13,female,000280401,pedestrian,5,2015,11111,11111
0002804,13,female,000280402,pedestrian,5,2015,11111,11111
0002901,43,female,000290101,pedestrian,15,2015,11111,11111
0002901,43,female,000290102,pedestrian,15,2015,11111,11111
0002901,43,female,000290103,taxi,7,2015,11111,11111
0002901,43,female,000290104,taxi,5,2015,11111,11111
0002902,13,female,000290201,taxi,15,2015,11111,11111
0002902,13,female,000290202,taxi,15,2015,11111,11111
0002903,15,female,000290301,taxi,15,2015,11111,11111
0002903,15,female,000290302,taxi,15,2015,11111,11111
0003001,31,male,000300101,motorcycle,15,2015,11111,11111
0003001,31,male,000300102,motorcycle,20,2015,11111,11111
0003001,31,male,000300103,motorcycle,20,2015,11111,11111
0003001,31,male,000300104,motorcycle,15,2015,11111,11111
0003001,31,male,000300105,motorcycle,15,2015,11111,11111
0003002,25,female,000300201,pedestrian,5,2015,11111,11111
0003002,25,female,000300202,pedestrian,5,2015,11111,11111
0003201,38,female,000320101,cycle,20,2015,11111,11111
0003201,38,female,000320102,car,60,2015,11111,11111
0003201,38,female,000320103,car,35,2015,11111,11111
0003201,38,female,000320104,cycle,15,2015,11111,11111
0003204,11,female,000320401,taxi,10,2015,11111,11111
0003204,11,female,000320402,car,40,2015,11111,11111
0003205,13,female,000320501,taxi,10,2015,11111,11111
0003205,13,female,000320502,car,40,2015,11111,11111
0003401,66,male,000340101,bus,60,2015,11111,11111
0003401,66,male,000340102,bus,110,2015,11111,11111
0003404,18,male,000340401,car,30,2015,11111,11111
0003404,18,male,000340402,car,30,2015,11111,11111
0003603,06,male,000360301,pedestrian,15,2015,11111,11111
0003603,06,male,000360302,pedestrian,15,2015,11111,11111
0003701,35,female,000370101,cycle,14,2015,11111,11111
0003701,35,female,000370102,cycle,5,2015,11111,11111
0003701,35,female,000370103,pedestrian,120,2015,11111,11111
0003701,35,female,000370104,taxi,35,2015,11111,11111
0003701,35,female,000370105,taxi,20,2015,11111,11111
0003702,07,male,000370201,pedestrian,10,2015,11111,11111
0003702,07,male,000370202,pedestrian,30,2015,11111,11111
0003702,07,male,000370203,pedestrian,20,2015,11111,11111
0003702,07,male,000370204,pedestrian,20,2015,11111,11111
0003703,52,female,000370301,bus,60,2015,11111,11111
0003703,52,female,000370302,bus,60,2015,11111,11111
0003703,52,female,000370303,car,25,2015,11111,11111
0003801,66,female,000380101,bus,30,2015,11111,11111
0003801,66,female,000380102,bus,30,2015,11111,11111
0003803,30,male,000380301,motorcycle,30,2015,11111,11111
0003803,30,male,000380302,motorcycle,30,2015,11111,11111
0003903,40,male,000390301,bus,35,2015,11111,11111
0003903,40,male,000390302,bus,60,2015,11111,11111
0003903,40,male,000390303,bus,30,2015,11111,11111
0003903,40,male,000390304,bus,60,2015,11111,11111
0003904,21,male,000390401,pedestrian,10,2015,11111,11111
0003904,21,male,000390402,pedestrian,10,2015,11111,11111
0004001,70,female,000400101,pedestrian,30,2015,11111,11111
0004001,70,female,000400102,pedestrian,30,2015,11111,11111
0004102,28,female,000410201,motorcycle,15,2015,11111,11111
0004102,28,female,000410202,motorcycle,15,2015,11111,11111
0004102,28,female,000410203,car,25,2015,11111,11111
0004102,28,female,000410204,car,15,2015,11111,11111
0004102,28,female,000410205,car,15,2015,11111,11111
0004201,64,female,000420101,taxi,10,2015,11111,11111
0004201,64,female,000420102,car,10,2015,11111,11111
0004202,60,male,000420201,bus,25,2015,11111,11111
0004202,60,male,000420202,car,30,2015,11111,11111
0004203,25,female,000420301,motorcycle,15,2015,11111,11111
0004203,25,female,000420302,motorcycle,15,2015,11111,11111
0004301,22,male,000430101,cycle,15,2015,11111,11111
0004301,22,male,000430102,cycle,15,2015,11111,11111
0004301,22,male,000430103,cycle,10,2015,11111,11111
0004301,22,male,000430104,cycle,10,2015,11111,11111
0004301,22,male,000430105,pedestrian,20,2015,11111,11111
0004501,35,female,000450101,bus,90,2015,11111,11111
0004501,35,female,000450102,bus,60,2015,11111,11111
0004502,16,female,000450201,bus,75,2015,11111,11111
0004502,16,female,000450202,pedestrian,30,2015,11111,11111
0004502,16,female,000450203,bus,200,2015,11111,11111
0004602,50,female,000460201,bus,40,2015,11111,11111
0004602,50,female,000460202,bus,60,2015,11111,11111
0004603,23,male,000460301,bus,55,2015,11111,11111
0004603,23,male,000460302,bus,180,2015,11111,11111
0004701,65,male,000470101,cycle,30,2015,11111,11111
0004701,65,male,000470102,cycle,600,2015,11111,11111
0004703,26,female,000470301,car,45,2015,11111,11111
0004703,26,female,000470302,motorcycle,30,2015,11111,11111
0004704,18,male,000470401,pedestrian,5,2015,11111,11111
0004704,18,male,000470402,pedestrian,25,2015,11111,11111
0004901,27,male,000490101,bus,40,2015,11111,11111
0004901,27,male,000490102,bus,45,2015,11111,11111
0005001,82,male,000500101,bus,30,2015,11111,11111
0005001,82,male,000500102,pedestrian,30,2015,11111,11111
0005002,77,female,000500201,taxi,5,2015,11111,11111
0005002,77,female,000500202,taxi,30,2015,11111,11111
0005101,59,male,000510101,car,30,2015,11111,11111
0005101,59,male,000510102,car,15,2015,11111,11111
0005101,59,male,000510103,car,15,2015,11111,11111
0005102,24,female,000510201,car,30,2015,11111,11111
0005102,24,female,000510202,car,15,2015,11111,11111
0005102,24,female,000510203,car,15,2015,11111,11111
0005201,32,male,000520101,cycle,60,2015,11111,11111
0005201,32,male,000520102,cycle,40,2015,11111,11111
0005202,35,female,000520201,bus,50,2015,11111,11111
0005202,35,female,000520202,bus,40,2015,11111,11111
0005203,06,female,000520301,pedestrian,10,2015,11111,11111
0005203,06,female,000520302,pedestrian,10,2015,11111,11111
0005403,65,female,000540301,bus,85,2015,11111,11111
0005403,65,female,000540302,bus,30,2015,11111,11111
0005501,60,female,000550101,car,15,2015,11111,11111
0005501,60,female,000550102,bus,15,2015,11111,11111
0005601,50,male,000560101,motorcycle,15,2015,11111,11111
0005601,50,male,000560102,motorcycle,30,2015,11111,11111
0005602,34,female,000560201,cycle,0,2015,11111,11111
0005602,34,female,000560202,cycle,85,2015,11111,11111
0005701,70,female,000570101,taxi,45,2015,11111,11111
0005701,70,female,000570102,taxi,30,2015,11111,11111
0005702,28,male,000570201,taxi,45,2015,11111,11111
0005702,28,male,000570202,taxi,30,2015,11111,11111
0005801,35,female,000580101,bus,30,2015,11111,11111
0005801,35,female,000580102,bus,90,2015,11111,11111
0005904,26,female,000590401,bus,105,2015,11111,11111
0005904,26,female,000590402,bus,75,2015,11111,11111
0005905,20,female,000590501,motorcycle,30,2015,11111,11111
0005905,20,female,000590502,motorcycle,20,2015,11111,11111
0006001,55,male,000600101,cycle,20,2015,11111,11111
0006001,55,male,000600102,cycle,20,2015,11111,11111
0006201,59,male,000620101,pedestrian,3,2015,11111,11111
0006201,59,male,000620102,pedestrian,3,2015,11111,11111
0006201,59,male,000620103,pedestrian,3,2015,11111,11111
0006201,59,male,000620104,pedestrian,3,2015,11111,11111
0006202,60,female,000620201,car,23,2015,11111,11111
0006202,60,female,000620202,car,15,2015,11111,11111
0006202,60,female,000620203,bus,50,2015,11111,11111
0006202,60,female,000620204,pedestrian,5,2015,11111,11111
0006202,60,female,000620205,pedestrian,5,2015,11111,11111
0006203,20,female,000620301,car,25,2015,11111,11111
0006203,20,female,000620302,car,25,2015,11111,11111
0006301,66,female,000630101,pedestrian,15,2015,11111,11111
0006301,66,female,000630102,pedestrian,15,2015,11111,11111
0006302,37,male,000630201,bus,60,2015,11111,11111
0006302,37,male,000630202,car,30,2015,11111,11111
0006501,58,male,000650101,taxi,20,2015,11111,11111
0006501,58,male,000650102,taxi,20,2015,11111,11111
0006502,56,female,000650201,car,30,2015,11111,11111
0006502,56,female,000650202,car,30,2015,11111,11111
0006503,29,female,000650301,car,20,2015,11111,11111
0006503,29,female,000650302,car,80,2015,11111,11111
0006503,29,female,000650303,car,12,2015,11111,11111
0006503,29,female,000650304,motorcycle,40,2015,11111,11111
0006503,29,female,000650305,motorcycle,25,2015,11111,11111
0006504,12,female,000650401,pedestrian,5,2015,11111,11111
0006504,12,female,000650402,pedestrian,5,2015,11111,11111
0006505,10,male,000650501,pedestrian,10,2015,11111,11111
0006505,10,male,000650502,pedestrian,20,2015,11111,11111
0006601,75,male,000660101,pedestrian,5,2015,11111,11111
0006601,75,male,000660102,pedestrian,4,2015,11111,11111
0006901,49,male,000690101,bus,60,2015,11111,11111
0006901,49,male,000690102,pedestrian,10,2015,11111,11111
0006901,49,male,000690103,pedestrian,10,2015,11111,11111
0006901,49,male,000690104,bus,80,2015,11111,11111
0007001,39,male,000700101,bus,20,2015,11111,11111
0007001,39,male,000700102,bus,20,2015,11111,11111
0007002,61,female,000700201,pedestrian,2,2015,11111,11111
0007002,61,female,000700202,pedestrian,6,2015,11111,11111
0007002,61,female,000700203,bus,45,2015,11111,11111
0007002,61,female,000700204,pedestrian,5,2015,11111,11111
0007002,61,female,000700205,bus,30,2015,11111,11111
0007005,13,female,000700501,pedestrian,15,2015,11111,11111
0007005,13,female,000700502,pedestrian,15,2015,11111,11111
0007006,09,female,000700601,pedestrian,15,2015,11111,11111
0007006,09,female,000700602,pedestrian,15,2015,11111,11111
0007101,52,female,000710101,pedestrian,10,2015,11111,11111
0007101,52,female,000710102,pedestrian,20,2015,11111,11111
0007101,52,female,000710103,pedestrian,20,2015,11111,11111
0007101,52,female,000710104,pedestrian,20,2015,11111,11111
0007101,52,female,000710105,pedestrian,30,2015,11111,11111
0007101,52,female,000710106,pedestrian,30,2015,11111,11111
0007101,52,female,000710107,pedestrian,5,2015,11111,11111
0007101,52,female,000710108,pedestrian,5,2015,11111,11111
0007102,28,female,000710201,pedestrian,NA,2015,11111,11111
0007102,28,female,000710202,pedestrian,59,2015,11111,11111
0007103,24,male,000710301,bus,100,2015,11111,11111
0007103,24,male,000710302,bus,50,2015,11111,11111
0007103,24,male,000710303,bus,80,2015,11111,11111
0007203,32,female,000720301,car,25,2015,11111,11111
0007203,32,female,000720302,motorcycle,20,2015,11111,11111
0007204,30,female,000720401,bus,60,2015,11111,11111
0007204,30,female,000720402,bus,70,2015,11111,11111
0007208,15,male,000720801,car,45,2015,11111,11111
0007208,15,male,000720802,pedestrian,10,2015,11111,11111
0007208,15,male,000720803,pedestrian,10,2015,11111,11111
0007208,15,male,000720804,pedestrian,30,2015,11111,11111
0007208,15,male,000720805,pedestrian,30,2015,11111,11111
0007301,93,female,000730102,taxi,20,2015,11111,11111
0007301,93,female,000730101,pedestrian,15,2015,11111,11111
0007501,28,male,000750101,car,30,2015,11111,11111
0007501,28,male,000750102,car,60,2015,11111,11111
0007501,28,male,000750103,car,40,2015,11111,11111
0007502,25,female,000750201,pedestrian,20,2015,11111,11111
0007502,25,female,000750202,pedestrian,20,2015,11111,11111
0007502,25,female,000750203,pedestrian,10,2015,11111,11111
0007502,25,female,000750204,pedestrian,10,2015,11111,11111
0007601,62,male,000760101,bus,50,2015,11111,11111
0007601,62,male,000760102,bus,75,2015,11111,11111
0007701,53,male,000770101,bus,120,2015,11111,11111
0007701,53,male,000770102,car,110,2015,11111,11111
0007701,53,male,000770103,pedestrian,20,2015,11111,11111
0008202,45,female,000820201,car,25,2015,11111,11111
0008202,45,female,000820202,car,30,2015,11111,11111
0008203,47,female,000820301,bus,35,2015,11111,11111
0008203,47,female,000820302,bus,60,2015,11111,11111
0008203,47,female,000820303,bus,30,2015,11111,11111
0008203,47,female,000820304,bus,60,2015,11111,11111
0008301,67,male,000830101,bus,75,2015,11111,11111
0008301,67,male,000830102,bus,40,2015,11111,11111
0008301,67,male,000830103,bus,50,2015,11111,11111
0008301,67,male,000830104,bus,30,2015,11111,11111
0008302,55,female,000830201,car,30,2015,11111,11111
0008302,55,female,000830202,car,30,2015,11111,11111
0008303,21,female,000830301,bus,45,2015,11111,11111
0008303,21,female,000830302,bus,80,2015,11111,11111
0008401,74,male,000840101,bus,40,2015,11111,11111
0008401,74,male,000840102,bus,53,2015,11111,11111
0008403,17,male,000840301,bus,50,2015,11111,11111
0008403,17,male,000840302,bus,40,2015,11111,11111
0008501,71,male,000850101,car,30,2015,11111,11111
0008501,71,male,000850102,car,30,2015,11111,11111
0008502,73,female,000850201,car,30,2015,11111,11111
0008502,73,female,000850202,car,30,2015,11111,11111
0008601,35,male,000860101,motorcycle,15,2015,11111,11111
0008601,35,male,000860102,motorcycle,15,2015,11111,11111
0008601,35,male,000860103,motorcycle,5,2015,11111,11111
0008601,35,male,000860104,pedestrian,5,2015,11111,11111
0008601,35,male,000860105,pedestrian,5,2015,11111,11111
0008602,23,female,000860201,pedestrian,5,2015,11111,11111
0008602,23,female,000860202,pedestrian,5,2015,11111,11111
0008701,81,female,000870101,pedestrian,20,2015,11111,11111
0008701,81,female,000870102,pedestrian,20,2015,11111,11111
0008702,55,female,000870201,cycle,30,2015,11111,11111
0008702,55,female,000870202,cycle,30,2015,11111,11111
0008702,55,female,000870203,pedestrian,20,2015,11111,11111
0008702,55,female,000870204,pedestrian,20,2015,11111,11111
0008901,31,male,000890101,motorcycle,60,2015,11111,11111
0008901,31,male,000890102,motorcycle,90,2015,11111,11111
0008902,25,female,000890201,bus,30,2015,11111,11111
0008902,25,female,000890202,bus,45,2015,11111,11111
0008902,25,female,000890203,pedestrian,15,2015,11111,11111
0008902,25,female,000890204,pedestrian,15,2015,11111,11111
0008902,25,female,000890205,pedestrian,15,2015,11111,11111
0008904,07,female,000890401,car,60,2015,11111,11111
0008904,07,female,000890402,car,60,2015,11111,11111
0009001,57,female,000900101,car,30,2015,11111,11111
0009001,57,female,000900102,car,20,2015,11111,11111
0009002,90,female,000900201,car,30,2015,11111,11111
0009002,90,female,000900202,car,20,2015,11111,11111
0009101,51,male,000910101,car,100,2015,11111,11111
0009101,51,male,000910102,bus,130,2015,11111,11111
0009101,51,male,000910103,car,15,2015,11111,11111
0009101,51,male,000910104,car,43,2015,11111,11111
0009101,51,male,000910105,car,45,2015,11111,11111
0009101,51,male,000910106,car,100,2015,11111,11111
0009102,36,female,000910201,pedestrian,60,2015,11111,11111
0009102,36,female,000910202,pedestrian,60,2015,11111,11111
